page,extracted_records,status,candidate_model_tokens,error
77,0,failed_structured_extraction,zQ14413,'NoneType' object is not subscriptable
78,0,failed_structured_extraction,ZOHKIVTC-27O; ZONKIYTC; ZOOSBWTC-I570; ZOXKGS-109; ZOXKGS-120; ZOXKGS-150; ZOXNGS-180; ZQ-W48-A04; ZQXKGS-180; ZQXKGs-181; ZW48AO2; ZaNKuvTC-1a7O; ZarKsvTe-1870; ZaxnGs-102; Zn07xe00,'NoneType' object is not subscriptable
79,0,failed_structured_extraction,ZOLSDXY-110; ZapTCT4; Zona; zeny,'NoneType' object is not subscriptable
80,0,failed_structured_extraction,2Q14908; Za149-09720149; Zatiest; Zav4s-05; za149; zaies2; zan5005; zane; zawo; znongaqun; zoltso5; zozzi0,'NoneType' object is not subscriptable
81,0,failed_structured_extraction,ZQNDT-1860; Zanst12; Zanst44; Zas2-03720182; Zatst13; z0181-03720151; zais; zaisi0e; zaisiot; zaistc2; zaree-13; zas1-01120181; zats2; zavs2-2; zol5I03; zol5l04; zol5l05,'NoneType' object is not subscriptable
82,0,failed_structured_extraction,2QDDX-180; Z200; ZOLMDG-120; ZOSCGZTODC-1590; ZQ-BLMDG-120; ZQ-BLMDG-180; ZQ-YMDG-120; ZQ-YMDG-180; ZQ-YXSC-1201150180; ZQ4LMDG-180; ZQSCGZTODC-1850; ZaauupGao0; Zannoo-20; Zasm00-100; Zasru06-100; Zasruoo-t20; zaase-a8; zacTezr1se0; zadupG-50; zasFWDG150; zasFu00-200; zawDoe-ie; zaxwoG200; zomi06200; zwDpeao,'NoneType' object is not subscriptable
83,0,failed_structured_extraction,2Q-GOGT-1590; Z0G0GT9030; ZDIRDH; ZQ-KTGQI; ZQ-SCSCJ-150; ZQAS-03; ZQECGQI-1435; ZaGaB030; Zacoct-iew; Zouw5to5; zacaaams; zacanen0; zaccoe-t250; zacos-t235; zaecacs-t20; zanssovza1ss02; zawaGzrrw; zocasene; zomesos; zoscecuin; zoscscu-it; zoxrcass000; zoxreas; zwetear-ie8,'NoneType' object is not subscriptable
84,0,failed_structured_extraction,ZOVGDE; ZOVKG04; Za-wesT-180Z0; Zascsrd0; Zeaee; za-scra-12nz0; za-weok-180720; za187-01720157; za187-08; zarss-o1za1se; zascsrioonzonsoneoaon; zatsrot; zauwcpB; zol5r05; zol5r3; zol5ra2; zol5ra4; zolss5; zoss7-o77z0187; zotsroe,'NoneType' object is not subscriptable
85,0,failed_structured_extraction,Z0159-10; Z0189-06; ZQ-QFSN1992; ZQ-WS4-A08; Za159-13; Zamoaoizawiense; zame; zans008; zans9-1112Q159; zawseate; zois0; ztmm,'NoneType' object is not subscriptable
86,0,failed_structured_extraction,2Q-27-26; ZOZK-3K; ZQ27-28; ZaQ-zT4B; ZazkSakw; Zazksawzazks; Zazr48; zazk46; zazkaa; zazkse; zazkza; zazraE; zxSakw,'NoneType' object is not subscriptable
87,0,failed_structured_extraction,ZQ-HC4518L; ZaQ-KSJ7019; Zavauors; zawiae; zaxctan; zone; zooreas; zoviate,'NoneType' object is not subscriptable
88,0,failed_structured_extraction,Z0980; ZOAE-OR; Za10004; ZaK38; z0xs470; za20002; zami08,'NoneType' object is not subscriptable
89,0,failed_structured_extraction,Z0980; ZOAE-OR; Za10004; ZaK38; z0xs470; za20002; zami08,'NoneType' object is not subscriptable
90,0,failed_structured_extraction,2Q16E2; ZOIGEH; ZORA; zonaEaaoe,'NoneType' object is not subscriptable
91,0,failed_structured_extraction,2Q16E2; ZOIGEH; ZORA; zonaEaaoe,'NoneType' object is not subscriptable
92,0,failed_structured_extraction,ZAATOSS; ZOATESI; ZQ170-26; ZaQ179,'NoneType' object is not subscriptable
93,0,failed_structured_extraction,ZAATOSS; ZOATESI; ZQ170-26; ZaQ179,'NoneType' object is not subscriptable
94,0,failed_structured_extraction,ZASH; Zoom; za17205; za17209; zamto; zane; zara; zarr1-09; zarre8; zarres8; zarri-st; zarria2; zarriar; zarrias; zarris0; zarrsa1; zarrtt9; zasror; zat7ao; zatrlaz; zatrzoa; zawriae; zeae; zona; zones; zor19; zorri28; zorriss,'NoneType' object is not subscriptable
95,0,failed_structured_extraction,Za174; ZaQ17416; za17415; zan7yoz; zanre18; zara; zarreae; zarrest; zat74-13; zatrt; zav7o49; zaxreso; zone; zoomz0yaoez,'NoneType' object is not subscriptable
96,0,failed_structured_extraction,ZAISWISEE; Zairem; Zonsea; zarees,'NoneType' object is not subscriptable
97,0,failed_structured_extraction,Z17751; ZAMIR; ZRAGIRAAIDIBAG; ZenevaRS; zairees,'NoneType' object is not subscriptable
98,0,failed_structured_extraction,2Q178-06; Z179-12; ZD179-53; ZD180-48; ZQ180-39; Za180-115; Zai80-103; ZaiTea; Zaies; ZainoTs; Zaire; Zaireas; Zaite; Zaiw0-112; Zameen; Zan101; Zan8e43; Zane; Zanes; Zarmss; Zarrsi9; Zass; Zateens; Zateo-t08; Zauen; Zaureae; Zine; Zoltan; Zorseae; Zoucat; Zqueed; zairsas; zarrees; zarrsa9; zatmse; zatnetws; zatrer3; zoNt,'NoneType' object is not subscriptable
99,0,failed_structured_extraction,ZQ11-16; Za18119; Za182-45; Za1az21; Zataz-8; Zauen; Zawes; Zaweue; Zicmann; Zo18113; Zowes; za18224; za18227; zaisiat; zatez; zaw2o7; zhnang; zhuang; zowes,'NoneType' object is not subscriptable
100,0,failed_structured_extraction,ZIRk57; ZQ18434; Zaiar; Zaiatsy; Zane; Zatadz; Zatatzr7; Zatds6; Zattsl; Zoot; Zoran; Zousas; Zzoteaa; z0180-02; za1a428; zaaa; zaat; zaat38; zaieste; zaimat; zajatos; zajuda; zalatT7; zalatt6; zals449; zaman; zane; zara; zarsess; zat8ta; zatat44; zatata; zatatak; zatatos; zatmor; zatsti8; zattoy; zavatos; zoey; zoinso; zoiuso; zolah22; zone; zones; zoven-2a; zovs27,'NoneType' object is not subscriptable
101,0,failed_structured_extraction,zaehas; zaiez2; zaimess; zainese; zamey; zane; zaneeae; zare801; zasassr; zatagse; zatscae; zauew; zaveso; zavwe2; zawoas; zawsor; zawss; zoes; zoletas; zones; zons1s; zoomkaa; zoreetn; zosesar; zowest,'NoneType' object is not subscriptable
102,0,failed_structured_extraction,2Q187-08; Za188; z9188; zae7; zarse; zarss-t1; zas8; zase04; zate7-92; zatse; zatss; zauerar; zaw7; zemen; zest; zoner1a; zones; zousie; zoxbs,'NoneType' object is not subscriptable
103,0,failed_structured_extraction,za100-16; za100-19; za10045; za160-05; za180-11; za18e-12; za190; zar60-04; zare0-09; zate0-02; zateot7; zoreeo,'NoneType' object is not subscriptable
104,0,failed_structured_extraction,ZQ191-12; Za191-15; ZaQ191-14; Zane; Zass2-s6; zante; zare21s; zarot; zatgat,'NoneType' object is not subscriptable
105,0,failed_structured_extraction,ZO194-20; ZRnERARAcpe; zae415; zais18; zane; zansan7; zaorata; zasre; zatseo6; zaveet; zones,'NoneType' object is not subscriptable
106,0,failed_structured_extraction,ZQ195; Za1gs; Zarso1; Zat96-02; za106-6; za195; za195-06; zaive1s; zarseazstFFaarl; zatee3; zater7; zatseaafrreon; zatseattrFao; zawe-es; zawsaarreo; zo10610; zo10619; zoros,'NoneType' object is not subscriptable
107,0,failed_structured_extraction,ZQ198; Zari; zara; zawr2e; zawraseeraio; zeit; zones; zoos; zowe; zowo; zowronersin,'NoneType' object is not subscriptable
108,0,failed_structured_extraction,2Q19013; 2Q198-47; ZawbzT; zone,'NoneType' object is not subscriptable
109,0,failed_structured_extraction,ZQGG1ixtntsem; Zai07-02; zasast; zast,'NoneType' object is not subscriptable
110,0,failed_structured_extraction,zQ204; za204; zans-i6; zans-it; zaz04; zaz04-08; zones,'NoneType' object is not subscriptable
111,0,failed_structured_extraction,za205-15; za20s; zaamsat; zames8; zamse; zan0s22; zaz0s; zazos; zazoste; zeeeR; zomg; zon0516; zona; zone; zones,'NoneType' object is not subscriptable
112,0,failed_structured_extraction,z0208-17; zaamar; zaamrse; zamrio; zouera; zouera2; zouorsn; zoxt7,'NoneType' object is not subscriptable
113,0,failed_structured_extraction,ZQ-BO01,'NoneType' object is not subscriptable
114,0,failed_structured_extraction,,'NoneType' object is not subscriptable
115,0,failed_structured_extraction,ZQ-B003; zope,'NoneType' object is not subscriptable
116,0,failed_structured_extraction,ZEST2; ZQ-B005; ZQ-B8,'NoneType' object is not subscriptable
117,0,failed_structured_extraction,ZQ-A010,'NoneType' object is not subscriptable
118,0,failed_structured_extraction,Znonaaun,'NoneType' object is not subscriptable
119,0,failed_structured_extraction,ZQ-SN1544; za-sw2042; zinsmea,'NoneType' object is not subscriptable
120,0,failed_structured_extraction,Za-sFo4g; za-sF016; zeTmeRme; zocor; zosrozs,'NoneType' object is not subscriptable
121,0,failed_structured_extraction,2QSNSITS; ZLSN6904; ZOSNH1; ZQSNSTER; Zasnsres; Zosne; Zosnsnts; Zosnsus; Zteasonn; zasusor; zeraem; zones,'NoneType' object is not subscriptable
122,0,failed_structured_extraction,Zari; za220; zane; zona,'NoneType' object is not subscriptable
123,0,failed_structured_extraction,ZaoM; zaz30,'NoneType' object is not subscriptable
124,0,failed_structured_extraction,,'NoneType' object is not subscriptable
